slug,display_name,base_name,variant_type,description
spiky-eared-pichu,Spiky Eared Pichu,pichu,form,"A special Pichu with a spiky ear, known from the Ilex Forest."
blue-flower-flabebe,Blue Flower Flabebe,flabebe,flower,"Flabebe holding a blue flower, drawing power from its vibrant petals."
blue-flower-floette,Blue Flower Floette,floette,flower,"Floette with a blue flower, evolved from Blue Flower Flabebe."
blue-flower-florges,Blue Flower Florges,florges,flower,"Florges with blue flowers in its garden territory."
orange-flower-flabebe,Orange Flower Flabebe,flabebe,flower,"Flabebe holding an orange flower, radiating warm energy."
orange-flower-floette,Orange Flower Floette,floette,flower,"Floette with an orange flower, more vibrant than its base form."
orange-flower-florges,Orange Flower Florges,florges,flower,"Florges tending to orange flower gardens."
white-flower-flabebe,White Flower Flabebe,flabebe,flower,"Flabebe with a pure white flower, symbolizing innocence."
white-flower-floette,White Flower Floette,floette,flower,"Floette carrying a white flower with pristine petals."
white-flower-florges,White Flower Florges,florges,flower,"Florges maintaining white flower gardens with elegant grace."
yellow-flower-flabebe,Yellow Flower Flabebe,flabebe,flower,"Flabebe with a bright yellow flower, full of sunny energy."
yellow-flower-floette,Yellow Flower Floette,floette,flower,"Floette with a yellow flower that glows like sunlight."
yellow-flower-florges,Yellow Flower Florges,florges,flower,"Florges cultivating golden yellow flower gardens."
autumn-deerling,Autumn Deerling,deerling,seasonal,"Deerling in its autumn form with orange and brown coloring."
autumn-sawsbuck,Autumn Sawsbuck,sawsbuck,seasonal,"Sawsbuck in autumn form with colorful fall foliage antlers."
summer-deerling,Summer Deerling,deerling,seasonal,"Deerling in its summer form with lush green appearance."
summer-sawsbuck,Summer Sawsbuck,sawsbuck,seasonal,"Sawsbuck in summer form with full green leafy antlers."
winter-deerling,Winter Deerling,deerling,seasonal,"Deerling in its winter form with white and brown coloring."
winter-sawsbuck,Winter Sawsbuck,sawsbuck,seasonal,"Sawsbuck in winter form with bare branch antlers."
archipelago-vivillon,Archipelago Vivillon,vivillon,pattern,"Vivillon with archipelago wing pattern from island regions."
continental-vivillon,Continental Vivillon,vivillon,pattern,"Vivillon with continental wing pattern from mainland areas."
elegant-vivillon,Elegant Vivillon,vivillon,pattern,"Vivillon with elegant wing pattern, refined and graceful."
fancy-vivillon,Fancy Vivillon,vivillon,pattern,"Vivillon with fancy wing pattern, rare and decorative."
garden-vivillon,Garden Vivillon,vivillon,pattern,"Vivillon with garden wing pattern from cultivated areas."
high-plain-vivillon,High Plain Vivillon,vivillon,pattern,"Vivillon with high plain wing pattern from elevated regions."
icy-snow-vivillon,Icy Snow Vivillon,vivillon,pattern,"Vivillon with icy snow wing pattern from cold climates."
jungle-vivillon,Jungle Vivillon,vivillon,pattern,"Vivillon with jungle wing pattern from tropical forests."
marine-vivillon,Marine Vivillon,vivillon,pattern,"Vivillon with marine wing pattern from coastal areas."
modern-vivillon,Modern Vivillon,vivillon,pattern,"Vivillon with modern wing pattern from urban environments."
monsoon-vivillon,Monsoon Vivillon,vivillon,pattern,"Vivillon with monsoon wing pattern from rainy regions."
ocean-vivillon,Ocean Vivillon,vivillon,pattern,"Vivillon with ocean wing pattern from maritime areas."
poke-ball-vivillon,Poke Ball Vivillon,vivillon,pattern,"Special Vivillon with Poke Ball wing pattern."
polar-vivillon,Polar Vivillon,vivillon,pattern,"Vivillon with polar wing pattern from arctic regions."
river-vivillon,River Vivillon,vivillon,pattern,"Vivillon with river wing pattern from waterway areas."
sandstorm-vivillon,Sandstorm Vivillon,vivillon,pattern,"Vivillon with sandstorm wing pattern from desert regions."
savanna-vivillon,Savanna Vivillon,vivillon,pattern,"Vivillon with savanna wing pattern from grassland areas."
sun-vivillon,Sun Vivillon,vivillon,pattern,"Vivillon with sun wing pattern, bright and radiant."
